k;p%;supported;compatible;Nsupported;Ncompatible;averDist
1;33%;0.204;0.205;0.162;0.163;0.612-0.570     
2;33%;0.208;0.212;0.167;0.171;0.633-0.620     
3;33%;0.170;0.175;0.137;0.141;0.592-0.573     
4;33%;0.136;0.147;0.110;0.119;0.590-0.585     
5;33%;0.162;0.172;0.132;0.140;0.634-0.614     
6;33%;0.163;0.175;0.133;0.144;0.647-0.537     
7;33%;0.168;0.180;0.138;0.148;0.650-0.565     
8;33%;0.172;0.190;0.142;0.157;0.662-0.574     
9;33%;0.176;0.188;0.145;0.155;0.665-0.580     
10;33%;0.181;0.185;0.149;0.153;0.682-0.603     
11;33%;0.183;0.188;0.151;0.155;0.685-0.609     
12;33%;0.181;0.193;0.150;0.160;0.689-0.618     
13;33%;0.179;0.188;0.149;0.157;0.694-0.619     
14;33%;0.178;0.195;0.148;0.162;0.701-0.628     
15;33%;0.179;0.195;0.150;0.163;0.704-0.632     
16;33%;0.180;0.196;0.150;0.164;0.700-0.636     
17;33%;0.178;0.194;0.149;0.162;0.704-0.638     
18;33%;0.180;0.195;0.150;0.163;0.705-0.641     
19;33%;0.173;0.185;0.145;0.155;0.705-0.645     
20;33%;0.187;0.199;0.157;0.167;0.701-0.641     
21;33%;0.181;0.201;0.152;0.169;0.703-0.643     
22;33%;0.154;0.167;0.129;0.140;0.697-0.681     
23;33%;0.165;0.177;0.138;0.148;0.702-0.676     
24;33%;0.186;0.189;0.156;0.159;0.699-0.648     
25;33%;0.185;0.196;0.155;0.165;0.702-0.642     
26;33%;0.183;0.195;0.154;0.164;0.701-0.644     
27;33%;0.175;0.186;0.147;0.156;0.692-0.652     
28;33%;0.183;0.195;0.154;0.164;0.698-0.644     
29;33%;0.183;0.195;0.154;0.164;0.698-0.643     
30;33%;0.189;0.192;0.159;0.162;0.697-0.642     
31;33%;0.184;0.195;0.154;0.164;0.698-0.643     
32;33%;0.185;0.196;0.156;0.166;0.697-0.650     
33;33%;0.185;0.197;0.156;0.166;0.697-0.645     
34;33%;0.188;0.191;0.158;0.161;0.694-0.650     
35;33%;0.185;0.197;0.156;0.166;0.694-0.643     
36;33%;0.184;0.196;0.155;0.165;0.695-0.651     
37;33%;0.189;0.192;0.159;0.162;0.695-0.644     
38;33%;0.185;0.197;0.156;0.166;0.695-0.645     
39;33%;0.184;0.196;0.155;0.165;0.695-0.644     
40;33%;0.183;0.195;0.155;0.165;0.696-0.650     
41;33%;0.186;0.189;0.157;0.160;0.693-0.644     
42;33%;0.182;0.194;0.154;0.164;0.695-0.643     
43;33%;0.183;0.195;0.155;0.165;0.691-0.650     
44;33%;0.182;0.194;0.154;0.164;0.690-0.642     
45;33%;0.182;0.193;0.154;0.164;0.688-0.642     
46;33%;0.181;0.193;0.153;0.163;0.686-0.642     
47;33%;0.183;0.195;0.155;0.165;0.688-0.643     
48;33%;0.184;0.187;0.155;0.158;0.689-0.648     
49;33%;0.184;0.188;0.155;0.158;0.690-0.640     
50;33%;0.181;0.193;0.153;0.163;0.689-0.640  
